,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(41.1, -16.35, 18.392)","(54.9, 13.65, 95.832)","(2.55, -14.55, 25.41)","(16.65, -6.45, 26.136)","(10.5, -16.65, 42.35)","(2.1, -6.0, 28.072)","(-1.65, -9.3, 42.35)","(8.7, -12.0, 28.556)","(2.55, -21.15, 33.638)"
1,0.01,"(40.2, -7.95, 17.182)","(55.5, 13.5, 96.8)","(2.25, -14.55, 27.104)","(16.8, -5.55, 27.346)","(10.35, -15.75, 41.14)","(0.45, -6.6, 28.314)","(-1.95, -10.5, 43.076)","(9.15, -10.05, 29.524)","(2.4, -21.6, 34.364)"
2,0.02,"(38.4, -9.0, 15.972)","(55.05, 12.75, 96.074)","(2.7, -17.7, 28.556)","(18.45, -4.8, 29.04)","(10.95, -15.75, 41.866)","(1.05, -6.15, 28.798)","(-3.45, -9.45, 40.656)","(10.8, -10.05, 27.588)","(2.55, -20.7, 35.816)"
3,0.03,"(41.25, -9.15, 20.57)","(54.75, 13.5, 96.8)","(4.2, -16.2, 25.894)","(16.65, -6.0, 28.314)","(9.6, -16.8, 42.834)","(2.4, -6.0, 25.894)","(-3.45, -9.15, 40.414)","(8.85, -10.05, 30.25)","(0.3, -20.7, 35.09)"
4,0.04,"(40.95, -12.15, 17.908)","(54.6, 13.2, 95.348)","(0.0, -18.75, 30.976)","(16.8, -5.1, 29.766)","(8.55, -16.5, 42.834)","(0.45, -6.45, 28.072)","(-3.0, -7.05, 41.382)","(9.6, -11.25, 32.186)","(3.0, -20.4, 36.058)"
5,0.05,"(38.85, -12.45, 13.552)","(55.65, 13.65, 93.896)","(1.65, -18.45, 25.652)","(17.4, -5.4, 29.766)","(10.5, -15.75, 42.35)","(3.15, -6.9, 24.926)","(-1.5, -9.45, 41.14)","(8.25, -12.45, 29.04)","(2.7, -20.25, 32.67)"
6,0.060000000000000005,"(43.05, -11.55, 15.246)","(54.75, 14.4, 95.832)","(2.4, -15.9, 25.652)","(18.15, -5.4, 28.072)","(10.2, -15.45, 43.802)","(2.4, -6.15, 26.862)","(-2.7, -8.1, 42.35)","(9.3, -10.35, 29.524)","(1.2, -20.7, 33.154)"
7,0.07,"(43.5, -9.45, 17.182)","(53.85, 12.75, 97.042)","(0.3, -17.4, 34.122)","(17.85, -4.35, 26.62)","(8.85, -15.6, 42.108)","(1.8, -6.9, 26.62)","(-1.95, -8.7, 41.382)","(10.2, -10.8, 27.83)","(1.2, -21.75, 34.848)"
8,0.08,"(41.55, -8.85, 17.666)","(55.5, 15.0, 96.558)","(1.95, -19.95, 29.04)","(16.65, -4.2, 28.556)","(9.15, -16.2, 42.35)","(2.4, -7.35, 27.104)","(-3.0, -8.85, 43.076)","(7.95, -11.85, 27.83)","(2.55, -21.45, 34.364)"
9,0.09,"(38.7, -9.75, 16.698)","(55.5, 13.95, 95.832)","(2.4, -15.0, 33.154)","(16.8, -4.35, 29.282)","(8.7, -15.45, 43.076)","(1.95, -8.25, 26.62)","(-2.55, -9.3, 40.898)","(8.25, -12.9, 30.492)","(2.1, -21.45, 34.606)"
10,0.09999999999999999,"(39.6, -9.9, 17.182)","(55.95, 13.35, 95.348)","(-1.05, -15.6, 26.862)","(15.9, -6.15, 29.282)","(9.9, -16.5, 43.56)","(2.1, -5.7, 27.104)","(-2.1, -8.85, 40.898)","(7.95, -11.55, 28.798)","(2.7, -19.35, 30.976)"
11,0.10999999999999999,"(42.0, -10.5, 15.972)","(54.9, 13.2, 96.074)","(2.7, -18.6, 26.62)","(16.65, -5.55, 27.83)","(10.5, -15.6, 41.382)","(3.6, -5.25, 26.862)","(-2.1, -8.7, 40.414)","(8.25, -11.1, 31.944)","(1.95, -22.2, 32.912)"
12,0.11999999999999998,"(41.55, -12.0, 17.424)","(57.15, 13.8, 97.042)","(3.9, -17.85, 29.766)","(16.95, -5.25, 29.04)","(9.9, -15.45, 42.35)","(1.8, -6.45, 27.104)","(-3.6, -9.0, 41.866)","(8.1, -10.95, 30.25)","(3.45, -21.45, 34.122)"
13,0.12999999999999998,"(44.4, -10.5, 19.118)","(55.65, 13.8, 96.316)","(2.55, -17.1, 31.218)","(16.2, -5.25, 30.008)","(10.35, -15.75, 43.318)","(1.95, -5.55, 26.378)","(-3.45, -7.2, 39.446)","(8.25, -10.5, 30.976)","(3.0, -20.25, 35.816)"
14,0.13999999999999999,"(42.9, -12.45, 18.634)","(55.35, 13.35, 96.074)","(4.5, -18.6, 28.314)","(16.8, -5.85, 29.766)","(9.9, -13.65, 42.592)","(3.45, -5.1, 25.652)","(-3.3, -8.85, 41.624)","(9.0, -13.05, 29.524)","(3.15, -21.9, 33.638)"
15,0.15,"(39.6, -12.6, 20.328)","(55.2, 14.1, 96.074)","(1.8, -15.6, 29.04)","(16.2, -4.05, 28.072)","(8.25, -15.15, 44.044)","(2.25, -5.85, 27.104)","(-3.6, -8.7, 41.866)","(7.8, -10.5, 27.83)","(2.25, -20.7, 35.332)"
16,0.16,"(41.1, -12.3, 18.15)","(55.65, 12.75, 97.042)","(1.2, -18.15, 28.072)","(18.15, -4.65, 25.41)","(10.2, -15.6, 43.802)","(2.25, -6.3, 25.652)","(-3.0, -8.85, 38.72)","(7.2, -11.25, 29.524)","(1.65, -21.15, 35.332)"
17,0.17,"(41.1, -12.3, 18.876)","(54.3, 13.8, 95.59)","(2.85, -18.3, 26.136)","(17.1, -4.65, 27.346)","(10.65, -15.9, 43.56)","(1.95, -7.05, 27.83)","(-2.7, -8.25, 42.592)","(9.75, -9.75, 30.008)","(2.25, -21.6, 33.638)"
18,0.18000000000000002,"(41.1, -10.5, 17.424)","(54.6, 13.95, 95.348)","(2.85, -15.75, 27.346)","(17.1, -6.0, 28.798)","(10.2, -15.9, 42.35)","(1.35, -5.4, 26.862)","(-2.85, -10.35, 41.382)","(9.45, -10.35, 27.346)","(2.55, -21.15, 33.396)"
19,0.19000000000000003,"(43.35, -11.25, 20.328)","(54.0, 13.95, 96.316)","(3.45, -17.85, 28.798)","(17.25, -5.55, 28.798)","(10.2, -14.85, 42.834)","(1.35, -7.2, 27.346)","(-3.0, -10.05, 40.898)","(9.0, -10.05, 31.46)","(1.5, -22.5, 33.154)"
20,0.20000000000000004,"(41.7, -12.75, 19.602)","(54.45, 13.95, 97.042)","(2.1, -16.95, 26.62)","(17.7, -4.05, 27.83)","(9.45, -16.2, 40.898)","(1.35, -5.85, 26.862)","(-2.1, -8.7, 40.656)","(10.5, -9.9, 29.766)","(3.6, -21.3, 31.702)"
21,0.21000000000000005,"(39.9, -10.5, 15.972)","(54.0, 13.95, 95.832)","(1.65, -15.45, 30.734)","(17.7, -4.95, 28.798)","(10.2, -16.35, 41.866)","(0.9, -6.6, 27.588)","(-4.2, -10.2, 41.14)","(9.45, -11.55, 30.492)","(1.95, -19.8, 36.058)"
22,0.22000000000000006,"(43.05, -12.3, 18.15)","(54.0, 12.15, 95.832)","(3.15, -16.65, 28.798)","(17.1, -5.1, 28.798)","(8.55, -15.0, 42.108)","(2.55, -7.8, 25.652)","(-3.45, -10.5, 41.382)","(9.0, -12.15, 26.62)","(2.4, -20.4, 34.122)"
