,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(40.5, -15.6, 24.684)","(17.1, -39.0, 38.962)","(0.15, -13.95, 19.844)","(17.7, -4.65, 26.62)","(9.0, -17.85, 42.35)","(1.5, -6.45, 26.62)","(-3.9, -9.6, 41.866)","(9.15, -11.4, 31.702)","(2.7, -22.05, 33.396)"
1,0.01,"(42.45, -12.15, 14.762)","(15.0, -43.5, 32.912)","(-0.3, -13.05, 17.908)","(16.65, -5.85, 27.83)","(10.35, -16.2, 41.866)","(1.2, -6.6, 27.346)","(-3.6, -7.8, 43.56)","(9.45, -11.25, 29.766)","(3.75, -20.25, 33.88)"
2,0.02,"(40.8, -11.25, 24.684)","(13.65, -40.35, 32.912)","(0.15, -13.95, 21.296)","(16.8, -6.15, 27.83)","(11.1, -17.25, 42.35)","(1.2, -9.15, 26.62)","(-2.4, -8.7, 41.624)","(7.65, -11.7, 29.524)","(3.45, -21.45, 34.364)"
3,0.03,"(43.8, -12.75, 20.086)","(13.2, -38.7, 35.574)","(0.45, -13.2, 20.812)","(18.3, -4.8, 28.072)","(10.95, -15.3, 44.286)","(2.7, -8.55, 23.958)","(-3.15, -8.1, 41.866)","(9.0, -10.2, 29.282)","(1.05, -22.35, 36.3)"
4,0.04,"(37.5, -11.4, 8.47)","(15.45, -40.05, 34.364)","(0.75, -14.1, 19.844)","(17.55, -4.95, 29.04)","(9.3, -14.7, 45.496)","(-0.3, -6.6, 25.894)","(-3.45, -10.35, 41.14)","(9.0, -11.25, 26.862)","(1.8, -22.5, 34.122)"
5,0.05,"(39.6, -11.25, 22.264)","(18.3, -39.45, 28.556)","(1.5, -14.1, 18.876)","(16.8, -4.95, 28.798)","(10.65, -15.0, 42.834)","(-0.3, -5.55, 26.862)","(-3.75, -9.15, 41.14)","(9.3, -12.0, 29.282)","(2.4, -20.85, 34.122)"
6,0.060000000000000005,"(42.3, -15.15, 18.634)","(16.35, -39.6, 38.72)","(0.6, -13.65, 20.812)","(16.35, -4.8, 26.862)","(12.15, -15.45, 41.624)","(1.65, -6.15, 28.072)","(-3.75, -11.1, 40.414)","(7.2, -11.7, 31.46)","(3.75, -22.35, 33.638)"
7,0.07,"(45.0, -8.55, 22.506)","(16.35, -45.9, 32.428)","(0.75, -13.8, 19.602)","(17.4, -5.1, 28.556)","(10.2, -15.9, 43.076)","(1.35, -6.75, 25.168)","(-3.0, -7.8, 42.834)","(9.45, -12.45, 29.524)","(2.85, -21.15, 33.154)"
8,0.08,"(45.75, -10.65, 20.57)","(14.1, -40.95, 33.154)","(0.6, -13.5, 20.086)","(17.85, -4.95, 29.04)","(10.2, -14.55, 41.14)","(0.45, -4.5, 26.136)","(-4.5, -10.05, 41.14)","(9.3, -13.05, 30.008)","(2.4, -22.35, 33.396)"
9,0.09,"(40.95, -12.45, 15.004)","(14.7, -41.4, 32.67)","(0.3, -14.25, 19.118)","(18.6, -5.85, 27.346)","(11.55, -16.65, 41.382)","(0.6, -4.5, 27.104)","(-3.3, -8.85, 41.382)","(9.3, -11.4, 29.766)","(3.45, -21.0, 33.638)"
10,0.09999999999999999,"(42.75, -13.2, 16.214)","(14.7, -39.9, 39.688)","(1.35, -13.5, 20.328)","(18.15, -4.95, 27.83)","(12.3, -15.75, 41.624)","(1.5, -7.05, 25.894)","(-2.25, -9.9, 44.528)","(8.85, -12.15, 31.46)","(3.0, -21.15, 34.606)"
11,0.10999999999999999,"(46.2, -9.45, 16.698)","(14.25, -39.6, 36.542)","(0.75, -13.5, 20.328)","(17.7, -6.45, 28.072)","(11.7, -16.5, 41.866)","(1.05, -6.15, 26.136)","(-4.05, -8.55, 41.624)","(8.1, -13.05, 31.46)","(3.15, -21.45, 33.88)"
12,0.11999999999999998,"(40.35, -11.7, 14.762)","(12.75, -39.0, 37.026)","(-0.3, -13.65, 21.054)","(16.2, -4.2, 28.072)","(11.55, -16.35, 40.172)","(0.9, -8.7, 27.346)","(-3.15, -9.6, 43.318)","(7.8, -10.8, 26.136)","(1.8, -22.05, 33.154)"
13,0.12999999999999998,"(44.25, -10.2, 15.73)","(10.2, -38.1, 29.524)","(0.0, -15.0, 19.844)","(16.65, -5.55, 27.346)","(10.05, -16.65, 42.35)","(0.6, -6.9, 26.862)","(-4.05, -8.25, 39.93)","(9.45, -12.3, 27.83)","(3.9, -21.6, 36.058)"
14,0.13999999999999999,"(36.3, -9.6, 15.73)","(14.55, -35.7, 34.606)","(0.15, -14.55, 21.296)","(16.8, -6.15, 29.524)","(9.6, -16.65, 40.414)","(1.35, -6.75, 25.168)","(-2.25, -10.95, 40.898)","(6.9, -11.25, 30.492)","(1.2, -20.4, 34.364)"
15,0.15,"(42.45, -12.75, 13.794)","(14.1, -36.0, 38.72)","(0.15, -13.8, 19.602)","(17.55, -7.05, 27.588)","(11.4, -18.0, 43.56)","(1.35, -8.85, 26.862)","(-3.3, -10.2, 40.898)","(7.95, -12.3, 28.798)","(2.25, -21.6, 34.606)"
16,0.16,"(39.45, -11.4, 14.036)","(16.35, -43.05, 30.008)","(0.15, -13.2, 19.36)","(17.7, -5.1, 27.104)","(11.7, -15.45, 42.108)","(0.75, -7.8, 26.62)","(-2.85, -9.6, 43.56)","(8.55, -12.0, 30.008)","(1.5, -22.5, 33.88)"
