,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(-5.55, -6.75, -8.712)","(36.6, -15.0, 32.428)","(41.85, 25.35, 83.006)","(17.1, -4.5, 27.104)","(10.5, -16.65, 41.382)","(1.35, -7.2, 23.958)","(-2.85, -11.55, 42.35)","(8.7, -10.65, 27.346)","(3.6, -21.9, 31.702)"
1,0.01,"(-5.4, -7.05, -8.47)","(34.65, -12.9, 32.186)","(42.6, 24.9, 81.312)","(17.25, -3.9, 28.556)","(11.85, -15.6, 40.898)","(1.05, -7.65, 24.684)","(-3.3, -11.4, 41.14)","(8.1, -10.8, 30.734)","(2.55, -21.45, 34.606)"
2,0.02,"(-4.35, -5.85, -11.132)","(35.85, -13.5, 32.428)","(41.4, 25.2, 83.732)","(16.2, -5.55, 28.798)","(9.9, -15.6, 39.93)","(1.65, -5.85, 25.652)","(-2.55, -9.9, 41.866)","(9.0, -10.35, 30.008)","(2.7, -21.9, 37.752)"
3,0.03,"(-5.1, -6.15, -9.922)","(36.15, -13.8, 30.25)","(41.55, 24.15, 84.216)","(16.95, -4.05, 28.798)","(11.4, -14.55, 41.866)","(0.9, -6.15, 25.894)","(-3.3, -8.25, 40.172)","(9.15, -11.7, 28.314)","(4.35, -20.25, 33.154)"
4,0.04,"(-5.85, -7.05, -8.47)","(35.55, -12.45, 32.186)","(42.75, 25.05, 83.248)","(17.85, -3.45, 27.346)","(10.65, -13.5, 42.35)","(0.9, -5.1, 25.168)","(-4.05, -9.9, 39.688)","(10.05, -9.9, 30.492)","(2.85, -20.85, 33.396)"
5,0.05,"(-5.4, -6.9, -8.954)","(35.7, -12.3, 31.46)","(41.4, 25.05, 83.248)","(16.95, -7.05, 28.798)","(10.35, -15.75, 41.382)","(2.25, -7.2, 27.588)","(-3.45, -10.05, 41.624)","(9.75, -12.75, 26.862)","(2.55, -22.2, 33.638)"
6,0.060000000000000005,"(-4.35, -4.8, -9.922)","(36.45, -14.4, 32.428)","(39.6, 24.9, 80.586)","(16.05, -4.05, 26.862)","(9.45, -15.45, 41.624)","(2.55, -5.85, 24.684)","(-2.85, -9.75, 41.382)","(8.55, -10.05, 31.218)","(3.15, -21.75, 33.396)"
7,0.07,"(-5.1, -6.75, -9.68)","(36.15, -12.3, 31.944)","(41.25, 24.6, 81.796)","(16.05, -4.05, 27.83)","(10.5, -16.2, 39.204)","(1.5, -5.1, 25.894)","(-3.75, -10.95, 38.478)","(9.3, -10.05, 30.008)","(3.45, -20.55, 35.816)"
8,0.08,"(-5.55, -6.9, -8.47)","(34.8, -13.5, 33.154)","(41.55, 24.15, 82.038)","(16.95, -5.85, 27.346)","(10.2, -15.0, 42.834)","(2.25, -4.2, 25.894)","(-4.05, -9.9, 40.656)","(9.9, -11.1, 30.25)","(4.05, -20.7, 35.332)"
9,0.09,"(-5.85, -7.05, -8.712)","(36.75, -15.3, 31.46)","(42.15, 24.15, 81.796)","(17.4, -5.55, 28.556)","(9.45, -15.6, 40.172)","(2.4, -6.6, 27.588)","(-2.4, -10.05, 41.14)","(8.85, -11.7, 31.218)","(2.85, -20.85, 34.364)"
10,0.09999999999999999,"(-4.5, -5.55, -10.648)","(36.15, -12.15, 31.944)","(40.95, 23.7, 81.312)","(17.25, -5.25, 29.282)","(11.1, -14.55, 42.35)","(1.2, -6.0, 24.2)","(-3.45, -10.35, 41.382)","(9.3, -12.9, 28.556)","(2.1, -20.1, 34.606)"
11,0.10999999999999999,"(-5.55, -6.6, -9.438)","(37.2, -13.05, 32.428)","(39.75, 24.9, 80.586)","(16.8, -5.1, 28.798)","(9.9, -14.7, 41.624)","(-0.6, -6.75, 28.314)","(-1.5, -7.8, 42.108)","(7.05, -12.15, 28.798)","(3.45, -20.25, 32.67)"
12,0.11999999999999998,"(-5.25, -7.2, -8.954)","(36.0, -13.8, 32.186)","(41.7, 23.7, 81.554)","(16.35, -4.8, 29.04)","(10.8, -15.45, 39.688)","(0.75, -6.3, 24.442)","(-5.85, -9.15, 41.624)","(9.3, -10.65, 28.798)","(3.0, -20.25, 33.396)"
13,0.12999999999999998,"(-5.25, -7.05, -9.438)","(36.75, -13.35, 32.67)","(42.6, 25.05, 80.586)","(18.15, -5.1, 28.072)","(10.95, -14.4, 41.14)","(0.15, -5.1, 25.41)","(-3.45, -9.15, 42.108)","(7.95, -10.5, 28.072)","(2.7, -21.75, 34.122)"
14,0.13999999999999999,"(-5.4, -6.15, -10.164)","(35.85, -11.7, 32.428)","(41.25, 23.7, 83.248)","(17.4, -4.95, 28.556)","(10.5, -15.75, 41.382)","(1.8, -7.2, 25.652)","(-3.75, -8.55, 42.35)","(10.35, -10.95, 30.492)","(3.75, -20.4, 32.186)"
15,0.15,"(-4.35, -5.55, -11.374)","(35.7, -14.1, 32.912)","(41.1, 23.7, 81.07)","(17.4, -5.4, 28.556)","(9.9, -15.3, 38.478)","(0.75, -5.85, 24.442)","(-3.6, -9.3, 40.414)","(7.8, -9.45, 30.25)","(4.2, -20.55, 33.638)"
16,0.16,"(-6.0, -6.75, -7.986)","(35.85, -12.6, 32.186)","(41.1, 24.15, 81.554)","(18.0, -5.4, 27.346)","(8.25, -14.55, 42.35)","(1.2, -6.0, 25.41)","(-1.95, -9.45, 42.592)","(8.7, -11.25, 27.346)","(2.55, -19.95, 33.154)"
17,0.17,"(-6.3, -6.9, -8.228)","(35.85, -13.65, 33.396)","(40.5, 24.45, 82.038)","(17.85, -4.95, 27.588)","(9.3, -16.2, 42.35)","(1.5, -5.7, 25.41)","(-4.65, -9.3, 40.656)","(9.15, -10.05, 27.346)","(3.9, -19.95, 33.154)"
18,0.18000000000000002,"(-4.8, -6.0, -9.922)","(34.65, -15.75, 32.186)","(41.85, 23.85, 83.248)","(16.65, -5.55, 28.556)","(10.5, -14.4, 42.834)","(0.9, -6.45, 26.862)","(-3.15, -8.55, 43.076)","(9.0, -10.65, 30.492)","(2.1, -21.6, 33.396)"
19,0.19000000000000003,"(-6.3, -6.45, -7.986)","(35.25, -14.4, 32.428)","(40.95, 23.7, 81.796)","(16.95, -3.75, 30.734)","(10.8, -14.4, 43.802)","(1.2, -6.15, 27.104)","(-3.75, -9.75, 41.866)","(10.5, -12.9, 31.218)","(2.7, -21.15, 32.67)"
20,0.20000000000000004,"(-5.55, -6.9, -8.47)","(36.45, -13.65, 32.428)","(41.25, 25.5, 81.312)","(15.75, -4.95, 27.83)","(9.6, -15.75, 38.478)","(0.75, -5.1, 24.926)","(-3.0, -9.6, 41.866)","(8.7, -10.65, 29.282)","(4.05, -20.7, 33.88)"
21,0.21000000000000005,"(-5.85, -7.2, -8.712)","(38.55, -13.65, 31.944)","(40.05, 23.85, 83.248)","(17.55, -4.5, 29.524)","(10.05, -14.85, 40.898)","(2.1, -5.85, 26.378)","(-3.15, -10.5, 41.624)","(7.95, -11.1, 28.798)","(3.45, -21.6, 34.122)"
22,0.22000000000000006,"(-6.3, -6.75, -7.986)","(36.15, -13.35, 32.67)","(39.45, 25.5, 80.828)","(17.7, -4.05, 28.556)","(8.55, -14.1, 41.382)","(1.35, -5.1, 25.168)","(-2.4, -9.9, 42.834)","(7.65, -12.6, 29.524)","(3.6, -20.1, 34.122)"
23,0.23000000000000007,"(-4.95, -5.55, -10.89)","(36.15, -12.6, 32.912)","(40.8, 23.85, 82.038)","(17.4, -5.25, 27.104)","(9.3, -15.6, 40.656)","(0.9, -4.95, 25.652)","(-4.2, -10.8, 42.35)","(9.0, -10.5, 32.67)","(4.2, -21.45, 35.09)"
24,0.24000000000000007,"(-4.65, -5.85, -10.648)","(34.65, -14.25, 31.218)","(41.55, 25.35, 83.732)","(16.05, -5.25, 28.072)","(12.0, -14.85, 40.898)","(2.25, -4.8, 23.958)","(-3.9, -9.6, 42.108)","(9.3, -9.45, 29.766)","(2.1, -20.1, 33.638)"
25,0.25000000000000006,"(-5.85, -6.9, -8.47)","(37.05, -13.65, 32.912)","(42.6, 23.85, 79.86)","(16.05, -5.4, 27.83)","(9.9, -16.8, 40.898)","(1.65, -6.45, 25.41)","(-4.05, -10.35, 42.35)","(9.0, -10.5, 30.25)","(3.3, -20.7, 32.428)"
26,0.26000000000000006,"(-4.65, -6.75, -10.164)","(36.0, -14.1, 32.912)","(41.55, 24.6, 80.586)","(17.55, -6.15, 27.346)","(9.9, -14.85, 43.076)","(1.8, -6.75, 26.378)","(-4.35, -7.5, 40.414)","(8.25, -11.55, 29.282)","(4.65, -20.55, 34.122)"
27,0.2700000000000001,"(-6.15, -7.05, -8.228)","(36.6, -15.0, 31.944)","(41.85, 24.9, 82.038)","(15.3, -6.3, 28.072)","(10.5, -14.85, 41.866)","(1.95, -6.0, 24.2)","(-2.55, -9.75, 41.14)","(11.1, -11.1, 30.008)","(1.95, -20.4, 33.88)"
28,0.2800000000000001,"(-4.2, -6.0, -10.648)","(36.75, -13.2, 32.186)","(42.45, 23.25, 79.376)","(16.05, -6.15, 27.83)","(10.05, -15.9, 38.962)","(1.95, -5.4, 26.62)","(-2.1, -10.2, 39.93)","(9.9, -11.25, 29.04)","(4.5, -21.3, 35.09)"
29,0.2900000000000001,"(-6.3, -7.2, -8.47)","(36.15, -12.75, 32.67)","(41.4, 25.35, 80.102)","(16.95, -5.7, 28.072)","(9.9, -13.8, 43.318)","(2.7, -5.85, 23.474)","(-3.45, -11.55, 41.382)","(9.3, -10.95, 31.218)","(2.7, -20.25, 33.396)"
30,0.3000000000000001,"(-5.55, -6.9, -8.712)","(35.7, -12.9, 32.428)","(40.35, 24.3, 81.796)","(17.1, -6.0, 29.04)","(10.2, -15.3, 39.688)","(1.05, -7.05, 24.684)","(-2.85, -9.0, 42.834)","(9.3, -11.7, 30.492)","(4.05, -21.15, 33.638)"
31,0.3100000000000001,"(-4.8, -5.85, -11.132)","(37.35, -14.4, 33.154)","(40.2, 23.55, 81.796)","(17.25, -6.0, 29.524)","(10.5, -14.4, 40.898)","(0.9, -7.2, 25.894)","(-3.45, -8.4, 43.318)","(8.85, -10.35, 29.282)","(3.3, -21.45, 32.912)"
32,0.3200000000000001,"(-4.35, -6.15, -11.132)","(36.15, -13.95, 32.912)","(40.05, 24.45, 82.28)","(16.95, -6.15, 27.83)","(11.55, -16.35, 42.592)","(-0.15, -6.6, 24.2)","(-4.5, -7.95, 41.14)","(8.1, -12.15, 29.524)","(4.65, -20.25, 35.09)"
33,0.3300000000000001,"(-5.1, -6.9, -9.68)","(36.9, -12.6, 32.186)","(40.8, 24.3, 82.28)","(17.1, -4.35, 25.894)","(9.0, -15.6, 41.866)","(1.2, -6.45, 25.652)","(-3.9, -9.0, 43.076)","(9.3, -10.95, 31.702)","(2.4, -20.4, 34.606)"
34,0.34000000000000014,"(-5.7, -7.05, -9.196)","(37.5, -13.95, 32.912)","(42.6, 24.75, 81.07)","(16.5, -4.8, 28.798)","(10.35, -14.1, 43.56)","(0.75, -4.95, 26.136)","(-4.95, -8.85, 43.802)","(9.3, -11.1, 29.766)","(4.2, -23.1, 34.848)"
