,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(66.0, 25.8, 36.542)","(40.65, 13.8, 53.482)","(36.45, 18.9, 77.198)","(16.8, -4.05, 29.524)","(10.65, -15.75, 40.656)","(0.45, -6.6, 25.652)","(-4.05, -10.2, 39.688)","(8.25, -10.65, 29.766)","(2.85, -20.55, 32.428)"
1,0.01,"(68.25, 25.2, 35.332)","(39.6, 13.8, 55.902)","(36.9, 20.4, 76.472)","(17.7, -5.7, 28.556)","(11.55, -16.5, 43.318)","(0.6, -6.3, 27.588)","(-3.9, -8.55, 41.14)","(9.45, -11.85, 28.314)","(1.8, -21.75, 32.912)"
2,0.02,"(68.85, 27.45, 35.816)","(39.0, 13.8, 54.692)","(39.15, 21.75, 77.682)","(17.25, -6.45, 28.556)","(10.8, -13.95, 43.318)","(0.6, -6.75, 24.2)","(-3.9, -8.55, 45.98)","(8.4, -11.7, 28.072)","(1.2, -21.45, 34.606)"
3,0.03,"(67.5, 27.0, 35.332)","(39.3, 14.1, 54.45)","(37.35, 22.05, 78.408)","(17.55, -4.8, 26.62)","(10.05, -12.6, 44.528)","(0.6, -4.5, 24.442)","(-4.05, -9.15, 44.528)","(8.4, -11.4, 29.04)","(1.95, -24.0, 34.122)"
4,0.04,"(67.35, 26.25, 36.058)","(38.55, 12.9, 51.788)","(38.1, 21.75, 78.892)","(17.25, -4.95, 30.492)","(10.8, -11.7, 45.254)","(-0.9, -4.8, 24.442)","(-3.75, -8.4, 43.318)","(8.55, -11.7, 28.072)","(3.0, -22.35, 35.816)"
5,0.05,"(68.55, 27.0, 35.574)","(38.55, 13.2, 55.176)","(36.6, 23.4, 79.376)","(16.35, -5.55, 28.072)","(13.05, -12.15, 46.222)","(-1.5, -5.55, 26.62)","(-4.2, -7.8, 42.108)","(8.55, -9.45, 28.556)","(2.25, -21.9, 34.364)"
6,0.060000000000000005,"(68.25, 27.6, 35.574)","(40.35, 15.75, 55.176)","(37.8, 20.7, 78.892)","(15.75, -5.1, 28.798)","(10.35, -16.05, 41.866)","(-1.05, -4.2, 27.588)","(-2.25, -9.0, 42.834)","(7.8, -11.1, 27.83)","(3.3, -21.3, 32.912)"
7,0.07,"(67.65, 27.3, 35.09)","(39.15, 12.45, 54.208)","(36.0, 21.0, 74.294)","(17.55, -4.65, 28.314)","(11.1, -14.85, 42.592)","(0.3, -6.6, 28.314)","(-3.3, -8.4, 42.834)","(8.25, -10.8, 31.46)","(2.4, -22.05, 34.122)"
8,0.08,"(67.8, 25.65, 34.848)","(39.75, 15.0, 52.03)","(36.6, 21.9, 74.778)","(18.3, -3.45, 27.346)","(11.7, -15.45, 40.898)","(1.35, -8.1, 26.862)","(-2.85, -9.75, 42.35)","(9.3, -11.1, 28.556)","(1.95, -21.6, 33.88)"
9,0.09,"(67.2, 25.35, 36.058)","(38.55, 13.8, 56.144)","(34.65, 21.0, 77.198)","(17.4, -5.55, 26.62)","(12.0, -16.65, 42.108)","(1.5, -8.55, 25.168)","(-3.6, -8.4, 43.56)","(7.35, -10.2, 28.314)","(1.35, -21.15, 32.912)"
10,0.09999999999999999,"(67.05, 27.9, 35.816)","(40.2, 13.2, 54.208)","(37.35, 21.6, 76.23)","(15.45, -5.25, 28.798)","(10.05, -16.8, 40.414)","(1.35, -8.1, 24.2)","(-3.15, -7.95, 42.592)","(8.4, -11.55, 29.524)","(1.65, -21.9, 33.396)"
11,0.10999999999999999,"(68.4, 25.95, 36.542)","(40.95, 12.9, 54.208)","(35.1, 23.4, 74.294)","(17.55, -5.7, 27.104)","(11.1, -15.45, 42.35)","(2.55, -9.45, 27.104)","(-3.6, -9.3, 39.446)","(7.95, -10.95, 31.46)","(3.3, -21.6, 32.428)"
12,0.11999999999999998,"(68.7, 27.6, 35.816)","(42.0, 13.95, 56.386)","(36.75, 20.1, 77.924)","(17.25, -6.3, 28.072)","(10.8, -17.85, 43.318)","(1.05, -6.9, 28.072)","(-2.85, -9.0, 43.802)","(6.9, -10.65, 30.25)","(2.85, -21.75, 34.122)"
13,0.12999999999999998,"(68.4, 25.95, 35.332)","(40.5, 14.4, 56.144)","(38.55, 21.9, 78.65)","(16.8, -6.0, 29.524)","(9.9, -18.0, 41.624)","(1.35, -7.35, 26.378)","(-3.45, -10.2, 41.866)","(7.8, -12.0, 27.83)","(3.9, -22.8, 32.912)"
14,0.13999999999999999,"(68.85, 26.4, 35.816)","(40.95, 12.9, 53.966)","(36.6, 21.15, 74.294)","(18.0, -5.4, 28.798)","(11.25, -18.15, 43.56)","(2.25, -8.4, 25.894)","(-3.15, -10.2, 42.592)","(8.55, -12.6, 29.766)","(2.85, -21.6, 33.154)"
15,0.15,"(68.1, 25.05, 35.09)","(41.1, 11.7, 56.87)","(37.35, 20.85, 77.198)","(17.85, -5.1, 27.346)","(10.65, -16.05, 42.108)","(1.35, -8.4, 25.41)","(-3.15, -9.9, 43.802)","(8.4, -10.35, 29.524)","(3.3, -22.2, 32.912)"
16,0.16,"(67.65, 27.6, 35.574)","(37.95, 12.9, 51.304)","(37.5, 20.85, 75.988)","(17.1, -5.4, 29.04)","(10.65, -17.25, 41.382)","(2.7, -7.5, 24.684)","(-3.45, -8.4, 42.108)","(9.6, -11.1, 32.912)","(3.0, -21.0, 34.364)"
17,0.17,"(68.25, 26.55, 35.332)","(39.6, 15.3, 54.208)","(37.95, 21.3, 75.262)","(17.1, -6.45, 26.378)","(10.95, -16.95, 40.656)","(1.8, -8.55, 27.346)","(-4.05, -10.05, 41.866)","(7.65, -10.05, 30.976)","(1.5, -21.3, 32.186)"
18,0.18000000000000002,"(68.1, 26.25, 34.364)","(39.15, 14.1, 54.45)","(36.0, 21.45, 75.746)","(15.9, -4.65, 28.072)","(11.55, -17.1, 40.172)","(1.8, -8.1, 27.346)","(-4.5, -11.1, 42.108)","(8.1, -10.8, 27.83)","(2.1, -21.0, 34.848)"
19,0.19000000000000003,"(67.95, 26.85, 35.816)","(39.75, 13.2, 55.66)","(37.05, 21.6, 78.166)","(17.7, -6.45, 26.862)","(10.65, -16.8, 41.624)","(0.9, -7.05, 23.958)","(-2.55, -8.25, 43.076)","(8.85, -11.85, 30.25)","(1.2, -21.9, 32.428)"
