,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(54.45, 10.35, 49.852)","(35.4, -13.2, 63.646)","(4.5, -17.25, 22.264)","(37.8, 17.25, 55.902)","(30.9, 7.35, 70.422)","(1.8, -5.7, 26.862)","(-3.15, -9.6, 41.624)","(8.7, -8.4, 28.314)","(2.4, -20.1, 35.816)"
1,0.01,"(58.35, 7.8, 52.756)","(35.25, -11.55, 64.614)","(2.4, -18.0, 28.798)","(31.05, 18.15, 57.596)","(30.0, 8.4, 71.874)","(4.35, -6.3, 27.104)","(-2.85, -8.25, 41.866)","(9.6, -7.65, 29.766)","(1.8, -18.75, 34.122)"
2,0.02,"(55.35, 12.75, 45.98)","(36.15, -13.5, 64.614)","(2.55, -11.7, 26.62)","(33.45, 18.6, 59.532)","(33.15, 7.2, 68.486)","(2.7, -4.65, 27.83)","(-3.6, -7.95, 42.834)","(8.25, -10.2, 30.25)","(2.7, -21.15, 35.09)"
3,0.03,"(57.75, 9.45, 45.012)","(34.95, -13.95, 65.34)","(1.8, -14.1, 22.748)","(32.1, 17.1, 66.066)","(30.45, 8.85, 72.842)","(0.45, -4.95, 24.926)","(-1.05, -7.35, 43.56)","(9.15, -8.1, 29.282)","(2.55, -19.65, 33.638)"
4,0.04,"(58.5, 7.95, 44.77)","(37.05, -13.05, 64.614)","(0.6, -16.35, 31.218)","(37.8, 17.4, 60.258)","(30.45, 8.25, 72.116)","(2.25, -6.45, 28.314)","(-2.55, -7.65, 43.56)","(9.15, -9.3, 28.072)","(3.9, -19.8, 33.638)"
5,0.05,"(60.0, 8.4, 46.706)","(36.15, -13.5, 65.098)","(1.05, -19.65, 29.524)","(37.95, 14.4, 61.952)","(30.6, 4.95, 68.486)","(2.1, -6.0, 28.314)","(-3.75, -9.75, 41.14)","(9.6, -9.9, 30.008)","(2.1, -19.2, 32.428)"
6,0.060000000000000005,"(60.3, 11.55, 47.674)","(34.65, -12.15, 64.372)","(1.5, -16.65, 34.848)","(38.25, 11.55, 61.226)","(30.45, 7.05, 70.422)","(3.3, -5.25, 26.62)","(-3.6, -8.7, 42.108)","(9.75, -8.85, 30.976)","(2.1, -19.8, 37.51)"
7,0.07,"(55.05, 9.3, 48.642)","(36.3, -13.5, 63.404)","(2.55, -17.55, 24.926)","(35.85, 15.15, 57.354)","(30.6, 7.35, 71.632)","(1.65, -6.0, 26.862)","(-3.9, -8.4, 43.076)","(8.7, -7.65, 32.186)","(1.65, -22.35, 32.428)"
8,0.08,"(57.45, 9.9, 46.706)","(35.25, -13.65, 65.098)","(1.5, -18.9, 30.492)","(36.6, 16.2, 59.774)","(31.05, 10.65, 71.874)","(2.4, -5.4, 26.862)","(-2.25, -8.55, 42.35)","(10.05, -8.55, 27.588)","(3.9, -19.65, 35.574)"
9,0.09,"(55.8, 9.15, 44.528)","(35.4, -15.15, 65.34)","(0.6, -15.75, 33.88)","(36.0, 13.05, 63.888)","(30.45, 6.15, 68.728)","(0.3, -7.2, 26.378)","(-3.9, -8.55, 41.14)","(9.9, -9.6, 29.524)","(2.1, -20.55, 36.3)"
