,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(70.05, 28.65, 37.026)","(41.55, 14.7, 55.66)","(38.1, 23.85, 82.038)","(17.25, -3.6, 26.62)","(10.2, -14.55, 42.35)","(-0.15, -5.7, 26.62)","(-4.65, -9.75, 41.382)","(8.1, -11.4, 27.346)","(1.35, -21.15, 32.186)"
1,0.01,"(68.85, 27.6, 35.332)","(43.95, 14.7, 55.66)","(37.8, 23.25, 77.198)","(15.75, -4.5, 29.04)","(10.2, -15.45, 42.35)","(0.3, -6.15, 24.684)","(-3.0, -9.75, 41.382)","(8.25, -11.55, 29.282)","(2.55, -20.1, 34.364)"
2,0.02,"(69.0, 27.75, 35.574)","(40.8, 16.2, 55.66)","(38.7, 24.75, 80.344)","(16.65, -3.75, 26.62)","(9.0, -14.1, 42.592)","(0.15, -7.5, 23.958)","(-4.35, -8.7, 40.898)","(6.6, -10.8, 27.588)","(2.7, -21.15, 36.058)"
3,0.03,"(68.25, 28.5, 36.784)","(41.85, 15.9, 56.628)","(39.45, 22.65, 78.892)","(17.25, -4.8, 27.83)","(8.55, -15.9, 41.382)","(0.6, -7.8, 23.474)","(-4.5, -9.45, 39.688)","(9.3, -11.55, 29.524)","(1.5, -20.25, 31.944)"
4,0.04,"(69.6, 29.1, 35.816)","(40.05, 13.65, 55.66)","(38.4, 24.15, 78.892)","(16.05, -4.95, 27.588)","(12.0, -16.8, 41.14)","(0.0, -8.1, 24.442)","(-5.1, -9.0, 39.93)","(7.8, -11.55, 29.282)","(1.35, -20.85, 33.154)"
5,0.05,"(69.45, 28.5, 35.816)","(40.5, 15.6, 56.386)","(38.7, 24.6, 76.956)","(17.55, -3.3, 26.62)","(9.45, -14.4, 41.624)","(-0.15, -7.05, 25.652)","(-4.05, -10.5, 40.656)","(7.95, -11.55, 27.104)","(1.95, -21.9, 33.638)"
6,0.060000000000000005,"(69.45, 28.35, 35.816)","(41.25, 16.35, 54.934)","(38.4, 23.25, 78.408)","(15.45, -4.65, 27.104)","(10.35, -14.7, 43.318)","(0.15, -4.8, 29.04)","(-4.95, -10.8, 41.14)","(9.3, -11.1, 29.282)","(2.25, -20.1, 35.816)"
7,0.07,"(68.25, 28.2, 36.542)","(40.35, 13.5, 53.966)","(37.8, 22.2, 80.586)","(18.3, -4.2, 29.766)","(10.35, -14.4, 40.172)","(0.15, -5.25, 28.072)","(-4.95, -8.7, 44.044)","(9.15, -10.5, 30.25)","(1.65, -19.05, 32.912)"
8,0.08,"(70.5, 27.6, 35.332)","(41.85, 16.2, 54.934)","(38.7, 23.55, 78.65)","(16.95, -4.95, 26.862)","(12.0, -14.7, 42.108)","(2.1, -5.1, 24.684)","(-5.4, -9.45, 41.14)","(7.95, -11.25, 29.766)","(1.65, -21.75, 32.912)"
9,0.09,"(70.2, 27.6, 37.51)","(39.9, 14.1, 55.66)","(37.95, 23.4, 81.312)","(15.15, -3.9, 28.556)","(11.1, -12.6, 39.446)","(1.05, -5.55, 24.684)","(-4.35, -9.0, 41.624)","(7.95, -12.0, 28.556)","(2.85, -20.4, 34.606)"
