,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(70.8, 29.1, 74.294)","(18.6, -39.6, 29.282)","(3.75, -17.4, 27.83)","(16.2, -5.4, 27.588)","(11.1, -14.55, 42.592)","(1.5, -4.2, 29.04)","(-3.3, -9.0, 40.898)","(8.85, -10.5, 29.524)","(2.4, -21.45, 32.67)"
1,0.01,"(71.25, 28.65, 74.536)","(16.5, -40.8, 36.542)","(3.3, -15.3, 26.378)","(16.95, -5.1, 27.346)","(11.7, -15.0, 41.14)","(2.55, -6.0, 26.62)","(-3.15, -8.7, 41.866)","(9.3, -9.3, 31.702)","(3.6, -19.95, 33.154)"
2,0.02,"(71.4, 28.5, 73.084)","(14.55, -42.0, 37.752)","(2.4, -16.65, 30.008)","(17.85, -4.65, 29.04)","(11.1, -14.85, 41.14)","(2.7, -6.6, 25.168)","(-2.4, -8.7, 41.382)","(10.8, -11.85, 29.524)","(3.15, -19.05, 34.364)"
3,0.03,"(72.0, 30.6, 74.294)","(15.15, -40.35, 32.186)","(4.05, -16.05, 28.314)","(17.85, -4.8, 27.83)","(10.65, -13.2, 41.624)","(3.75, -6.15, 25.652)","(-2.85, -7.8, 40.414)","(9.6, -11.4, 31.46)","(3.75, -19.5, 34.606)"
4,0.04,"(71.7, 30.6, 74.052)","(16.95, -38.25, 34.848)","(3.6, -18.75, 25.652)","(16.05, -5.1, 28.798)","(10.05, -13.8, 42.592)","(3.0, -3.6, 26.136)","(-1.95, -8.55, 43.56)","(8.85, -11.7, 28.556)","(3.75, -20.4, 35.816)"
5,0.05,"(71.55, 28.2, 76.714)","(17.25, -37.8, 35.09)","(5.4, -18.3, 30.25)","(16.35, -5.4, 26.378)","(11.85, -13.95, 40.656)","(2.25, -6.75, 26.136)","(-1.95, -8.4, 43.076)","(8.4, -11.1, 28.556)","(2.55, -21.75, 33.154)"
6,0.060000000000000005,"(71.7, 28.95, 75.262)","(15.6, -38.4, 33.396)","(3.3, -16.35, 29.766)","(15.9, -5.55, 30.008)","(10.65, -14.25, 42.108)","(2.55, -4.95, 27.588)","(-1.2, -7.05, 40.172)","(7.2, -10.95, 29.524)","(2.4, -19.05, 34.606)"
7,0.07,"(72.75, 30.0, 75.02)","(17.55, -38.85, 30.976)","(3.6, -15.9, 30.008)","(15.9, -4.95, 30.008)","(10.35, -14.55, 41.14)","(1.95, -5.55, 25.652)","(-2.4, -6.9, 43.318)","(10.95, -10.95, 30.734)","(2.55, -20.7, 31.944)"
8,0.08,"(72.15, 29.4, 75.504)","(16.95, -38.1, 32.428)","(4.65, -13.95, 29.282)","(17.1, -4.5, 28.798)","(10.95, -15.0, 40.656)","(2.4, -5.7, 26.378)","(-1.8, -8.85, 40.656)","(8.55, -10.65, 28.798)","(1.8, -20.7, 33.154)"
9,0.09,"(73.05, 30.6, 76.23)","(16.2, -39.3, 36.542)","(5.1, -18.15, 29.766)","(17.85, -5.1, 27.346)","(11.25, -13.95, 41.14)","(1.65, -5.1, 24.684)","(-2.85, -6.3, 41.624)","(10.2, -12.9, 28.556)","(2.1, -20.7, 33.88)"
10,0.09999999999999999,"(72.0, 30.45, 74.778)","(19.65, -37.8, 35.09)","(2.85, -16.65, 26.862)","(17.25, -5.7, 27.588)","(11.25, -14.25, 42.35)","(1.8, -5.55, 24.926)","(-2.55, -8.55, 39.93)","(8.7, -10.65, 29.766)","(1.8, -19.8, 34.122)"
11,0.10999999999999999,"(70.8, 29.55, 73.326)","(16.35, -37.95, 34.364)","(2.85, -15.15, 24.2)","(17.85, -6.0, 29.282)","(10.2, -15.15, 40.898)","(1.35, -6.9, 26.378)","(-2.25, -7.2, 38.962)","(9.3, -10.65, 28.072)","(1.8, -19.95, 33.638)"
12,0.11999999999999998,"(71.85, 28.65, 75.262)","(19.8, -37.2, 37.268)","(2.55, -15.6, 26.136)","(17.4, -5.85, 27.83)","(10.35, -15.3, 40.414)","(1.2, -4.8, 27.346)","(-2.85, -7.8, 43.56)","(9.45, -12.3, 30.008)","(2.85, -19.95, 33.638)"
